WavelengthA	Transmission
7416	0.7081449124
7428	0.7079398001
7441	0.7077347172
7454	0.7075290849
7467	0.7073237895
7479	0.7071189625
7492	0.7069134449
7505	0.7067081184
7518	0.7065022475
7530	0.7062962689
7543	0.7060904739
7556	0.7058848622
7568	0.7056788465
7581	0.7054735954
7594	0.7052679465
7607	0.7050627691
7619	0.7048573374
7632	0.7046520831
7645	0.7044471629
7658	0.7042419808
7670	0.7040372699
7683	0.7038324558
7696	0.7036281106
7708	0.7034235078
7721	0.7032192367
7734	0.7030151404
7747	0.7028112289
7759	0.7026074942
7772	0.702403506
7785	0.7022002792
7797	0.7019970824
7810	0.7017942145
7823	0.7015913786
7836	0.7013885843
7848	0.701186107
7861	0.7009841027
7874	0.7007818338
7887	0.7005801875
7899	0.7003782846
7912	0.7001771385
7925	0.6999761667
7937	0.6997752361
7950	0.6995744791
7963	0.699374048
7976	0.6991739405
7988	0.698974291
8001	0.6987742484
8014	0.6985752474
8027	0.6983759911
8039	0.6981773459
8052	0.6979785898
8065	0.6977804407
8077	0.6975823298
8090	0.6973846779
8103	0.6971874956
8116	0.6969903403
8128	0.6967933636
8141	0.6965971412
8154	0.6964006628
8167	0.696204936
8179	0.6960092346
8192	0.6958140015
8205	0.6956188027
8217	0.695424206
8230	0.6952297905
8243	0.6950356879
8256	0.6948419068
8268	0.6946487281
8281	0.6944557299
8294	0.694262896
8306	0.6940703894
8319	0.6938784867
8332	0.6936867555
8345	0.6934954823
8357	0.693304384
8370	0.6931136097
8383	0.692923432
8396	0.6927331422
8408	0.6925434547
8421	0.6923543733
8434	0.6921653158
8446	0.6919768651
8459	0.6917884431
8472	0.6916007626
8485	0.6914131119
8497	0.6912263542
8510	0.6910393401
8523	0.6908530639
8536	0.69066667
8548	0.6904810295
8561	0.6902956975
8574	0.6901111048
8586	0.6899262607
8599	0.6897422995
8612	0.6895583688
8625	0.6893751746
8637	0.6891918696
8650	0.6890092999
8663	0.6888269068
8676	0.6886449693
8688	0.6884634795
8701	0.688282166
8714	0.688101589
8726	0.6879211852
8739	0.6877415146
8752	0.6875617326
8765	0.6873824055
8777	0.6872035269
8790	0.6870252483
8803	0.6868471361
8815	0.6866697641
8828	0.6864922729
8841	0.68631552
8854	0.6861389345
8866	0.685962801
8879	0.6857872605
8892	0.6856120318
8905	0.6854369723
8917	0.6852626467
8930	0.6850886277
