3509.8743542653	20.0437478586
3534.4631930988	21.9097701841
3554.9538921266	23.8687058771
3591.8371503768	25.6963656897
3624.6222688214	28.0329406820
3649.2111076548	29.7525496306
3677.8980862939	31.4338027173
3706.5850649329	33.3079192137
3748.1275350580	34.7347080597
3789.6700051831	35.5445375130
3851.1421022667	36.6936437527
3922.3809023308	36.6936437527
4000.2455586368	37.5418357188
4090.9657064287	37.9043441726
4156.5359433179	38.5828977455
4193.4192015681	39.0069937286
4275.3819976796	40.1328683009
4345.6114464437	41.8757089169
4423.4761027496	42.9167709436
4460.3593609998	43.9810579867
4517.7333182778	45.1069325591
4595.5979745837	45.9551245252
4661.1682114729	46.3792205082
4722.6403085565	46.9961865519
4804.6031046680	47.5051017315
4853.7807823349	48.2068803209
4911.1547396129	48.8854338937
4977.8474419879	49.5639874666
5031.6843315298	51.0523704928
5089.6193608772	52.4327093059
5135.2599708078	52.9648495020
5180.9005807385	54.4148700153
5205.4894195720	54.1604124255
5242.3726778221	54.6925592725
5303.8447749057	55.6255704352
5365.3168719893	56.5585815980
5455.4756263649	57.0907217941
5553.8309816986	57.1755409907
5615.3034001294	56.4969874178
5713.6587554631	55.6487954517
5779.2289923523	54.5461458957
5844.7992292415	53.3586771432
5918.5657457419	52.0863891940
5992.3322622422	50.9837396381
6074.2950583537	50.4748244584
6135.7668340902	50.4748244584
6222.9502354931	49.8810900822
6305.3044323952	49.2873557059
6385.4136983257	48.6936213296
6477.0856762834	48.1847061500
6554.9506539364	47.8454293635
6628.7171704368	47.8454293635
6698.3852257844	47.6757909703
6743.4650849929	47.0820565940
6804.9368607293	46.0642262347
6850.0167199378	45.1312150720
6899.1943976047	44.0285655160
6960.6661733412	42.7562775669
7026.2364102303	41.4607646013
7091.8066471195	40.1884766521
7153.2790655503	39.0858270962
7224.4606658273	38.3108418185
7281.8346231053	37.3778306558
7337.3550502023	36.6144578863
7407.0237482442	36.0207235100
7456.2014259111	35.5966275269
7505.3791035780	35.0028931507
7575.0471589256	34.6636163642
7644.7158569675	34.0698819880
7685.6972550232	33.8154243981
7763.5615899820	32.8824132354
7833.2302880239	31.8645828761
7894.7020637604	30.5074757303
7956.1744821911	29.4048261744
8009.4499783165	28.7262726015
8075.0202152057	27.9628998320
8144.6889132475	27.1995270625
8210.2591501367	26.2665158998
8263.5346462621	25.3335047371
8308.6145054705	24.6549511642
8386.4788404293	23.3826632150
8468.4416365408	22.1951944625
8525.8155938188	21.1773641032
8603.6805714719	20.2443529404
8681.5449064306	18.9720583404
8775.8024433060	17.4453128014
8841.3726801951	16.6819466828
8945.7327277901	15.6908663281
9023.5970627489	14.4185850298
9085.0694811796	13.1462904298
9162.9338161384	11.8740091315
9253.0928918611	10.2624377450
9339.1541491252	9.0749689925
9471.8075251387	8.2267770264
9573.5299555829	7.2937725146
9639.1001924721	6.4455805485
9712.8667089724	5.5973885823
9786.6332254728	4.6643707687
9852.2034623619	4.2402814366
9946.4609992373	4.1554555890
9991.5402157515	4.1554555890
