lambA	25mm
3500	0.82800348915647100
3650	0.95699972748470600
3700	0.97099973709065300
3800	0.98199978194256400
3900	0.98800000448762200
4000	0.99100002615574100
4050	0.99199978039963600
4200	0.99399997773289500
4360	0.99399997705077600
4600	0.99499999418298800
5000	0.99700001542370100
5460	0.99800001409318100
5800	0.99799999567813800
6200	0.99799999742191400
6600	0.99700000403399900
7000	0.99800000031160100
10600	0.99800000791747300
