WavelengthA	PBM2Y
3500	-0.5887987
3565	-0.5414854
3630	-0.4997478
3695	-0.4627098
3760	-0.4296662
3825	-0.4000442
3890	-0.3733732
3955	-0.3492636
4020	-0.3273900
4085	-0.3074787
4150	-0.2892977
4215	-0.2726494
4280	-0.2573643
4345	-0.2432963
4410	-0.2303188
4475	-0.2183215
4540	-0.2072082
4605	-0.1968942
4670	-0.1873051
4735	-0.1783750
4800	-0.1700453
4865	-0.1622640
4930	-0.1549847
4995	-0.1481657
5060	-0.1417697
5125	-0.1357631
5190	-0.1301156
5255	-0.1247998
5320	-0.1197908
5385	-0.1150660
5450	-0.1106051
5515	-0.1063893
5580	-0.1024014
5645	-0.0986260
5710	-0.0950486
5775	-0.0916562
5840	-0.0884367
5905	-0.0853790
5970	-0.0824729
6035	-0.0797089
6100	-0.0770784
6165	-0.0745731
6230	-0.0721858
6295	-0.0699094
6360	-0.0677374
6425	-0.0656640
6490	-0.0636836
6555	-0.0617909
6620	-0.0599812
6685	-0.0582499
6750	-0.0565929
6815	-0.0550061
6880	-0.0534860
6945	-0.0520290
7010	-0.0506319
7075	-0.0492917
7140	-0.0480056
7205	-0.0467709
7270	-0.0455850
7335	-0.0444457
7400	-0.0433506
7465	-0.0422977
7530	-0.0412850
7595	-0.0403107
7660	-0.0393729
7725	-0.0384701
7790	-0.0376006
7855	-0.0367630
7920	-0.0359559
7985	-0.0351779
8050	-0.0344278
8115	-0.0337044
8180	-0.0330065
8245	-0.0323332
8310	-0.0316832
8375	-0.0310558
8440	-0.0304500
8505	-0.0298648
8570	-0.0292995
8635	-0.0287533
8700	-0.0282255
8765	-0.0277152
8830	-0.0272219
8895	-0.0267449
8960	-0.0262835
9025	-0.0258372
9090	-0.0254054
9155	-0.0249875
9220	-0.0245831
9285	-0.0241917
9350	-0.0238128
9415	-0.0234459
9480	-0.0230906
9545	-0.0227465
9610	-0.0224132
9675	-0.0220904
9740	-0.0217776
9805	-0.0214746
9870	-0.0211809
9935	-0.0208964
10000	-0.0206206
