WavelengthA	PBM18Y
3500	-0.5103385
3565	-0.4706710
3630	-0.4355129
3695	-0.4041798
3760	-0.3761171
3825	-0.3508709
3890	-0.3280661
3955	-0.3073899
4020	-0.2885800
4085	-0.2714142
4150	-0.2557036
4215	-0.2412864
4280	-0.2280231
4345	-0.2157932
4410	-0.2044917
4475	-0.1940270
4540	-0.1843187
4605	-0.1752959
4670	-0.1668962
4735	-0.1590639
4800	-0.1517498
4865	-0.1449097
4930	-0.1385043
4995	-0.1324981
5060	-0.1268594
5125	-0.1215594
5190	-0.1165722
5255	-0.1118742
5320	-0.1074443
5385	-0.1032629
5450	-0.0993123
5515	-0.0955766
5580	-0.0920408
5645	-0.0886915
5710	-0.0855164
5775	-0.0825039
5840	-0.0796436
5905	-0.0769260
5970	-0.0743420
6035	-0.0718834
6100	-0.0695426
6165	-0.0673126
6230	-0.0651869
6295	-0.0631593
6360	-0.0612243
6425	-0.0593765
6490	-0.0576112
6555	-0.0559237
6620	-0.0543099
6685	-0.0527657
6750	-0.0512874
6815	-0.0498717
6880	-0.0485152
6945	-0.0472148
7010	-0.0459679
7075	-0.0447716
7140	-0.0436234
7205	-0.0425211
7270	-0.0414623
7335	-0.0404450
7400	-0.0394673
7465	-0.0385272
7530	-0.0376230
7595	-0.0367530
7660	-0.0359158
7725	-0.0351098
7790	-0.0343336
7855	-0.0335860
7920	-0.0328656
7985	-0.0321713
8050	-0.0315020
8115	-0.0308565
8180	-0.0302340
8245	-0.0296334
8310	-0.0290539
8375	-0.0284945
8440	-0.0279545
8505	-0.0274331
8570	-0.0269295
8635	-0.0264431
8700	-0.0259731
8765	-0.0255190
8830	-0.0250801
8895	-0.0246558
8960	-0.0242456
9025	-0.0238489
9090	-0.0234654
9155	-0.0230943
9220	-0.0227355
9285	-0.0223882
9350	-0.0220523
9415	-0.0217272
9480	-0.0214125
9545	-0.0211080
9610	-0.0208132
9675	-0.0205279
9740	-0.0202516
9805	-0.0199841
9870	-0.0197252
9935	-0.0194744
10000	-0.0192315
